ID,true_data,pre_data
0,33.3269996643,24.5141677856
1,34.2929992676,24.6191482544
2,33.6489982605,24.714466095
3,34.6150016785,24.8191051483
4,35.2589988708,24.9141464233
5,36.547000885,25.0186882019
6,36.9500007629,25.1132183075
7,37.8349990845,25.2165126801
8,37.6739997864,25.3101024628
9,34.7760009766,25.4130077362
10,27.2889995575,25.5061511993
11,25.4379997253,25.6080570221
12,25.3579998016,25.7006072998
13,25.5990009308,25.8022823334
14,28.0939998627,25.8947124481
15,28.9799995422,25.9963912964
16,31.0729999542,26.0886573792
17,30.5900001526,26.190114975
18,32.0390014648,26.2822494507
19,31.2339992523,26.3834667206
20,31.6359996796,26.4845714569
21,32.4410018921,26.5764522552
22,30.9120006561,26.6774539948
23,30.3479995728,26.7692050934
24,31.5559997559,26.8701324463
25,31.4759998322,26.9618854523
26,32.2000007629,27.0627632141
27,31.5559997559,27.154417038
28,32.361000061,27.255109787
29,32.9239997864,27.3465366364
30,33.2459983826,27.447013855
31,32.763999939,27.538356781
32,32.1189994812,27.6387958527
33,31.716999054,27.7300930023
34,27.6919994354,27.8305225372
35,25.517999649,27.9218273163
36,25.7600002289,28.0222759247
37,27.0480003357,28.1135616302
38,27.2089996338,28.2139167786
39,27.6919994354,28.3142337799
40,28.5769996643,28.4054164886
41,28.658000946,28.5054836273
42,29.3819999695,28.5964164734
43,29.8649997711,28.696439743
44,29.8649997711,28.7874488831
45,28.5769996643,28.8874549866
46,28.1749992371,28.9783687592
47,27.3700008392,29.0783977509
48,26.8059997559,29.169336319
49,25.0349998474,29.2693500519
50,24.7129993439,29.3602600098
51,23.5869998932,29.4602241516
52,23.0230007172,29.5510902405
53,21.6539993286,29.6510486603
54,19.5620002747,29.7419300079
55,22.1369991302,29.8418922424
56,21.4930000305,29.9327449799
57,22.7810001373,30.0326900482
58,22.6210002899,21.353471756
59,22.7810001373,21.4575309753
60,22.4589996338,21.5520629883
61,20.2049999237,21.6557979584
62,20.4470005035,21.7501125336
63,19.8829994202,21.8539104462
64,20.125,21.9482402802
65,19.8829994202,22.0519866943
66,19.6420001984,22.1462345123
67,18.9169998169,22.2496967316
68,19.3199996948,22.3437995911
69,20.125,22.446975708
