,true_data,pre_data
0,33.3269996643,27.0159072876
1,34.2929992676,27.2752876282
2,33.6489982605,27.5110664368
3,34.6150016785,27.7700214386
4,35.2589988708,28.005027771
5,36.547000885,28.2620277405
6,36.9500007629,28.4941711426
7,37.8349990845,28.7404327393
8,37.6739997864,28.8613605499
9,34.7760009766,28.8648414612
10,27.2889995575,28.8514461517
11,25.4379997253,28.8324279785
12,25.3579998016,28.8118152618
13,25.5990009308,28.7885131836
14,28.0939998627,28.7672977448
15,28.9799995422,28.74376297
16,31.0729999542,28.7211151123
17,30.5900001526,28.695098877
18,32.0390014648,28.6710166931
19,31.2339992523,28.6441879272
20,31.6359996796,28.6169757843
21,32.4410018921,28.5922355652
22,30.9120006561,28.5650215149
23,30.3479995728,28.5401535034
24,31.5559997559,28.5126018524
25,31.4759998322,28.4875564575
26,32.2000007629,28.4600028992
27,31.5559997559,28.4349517822
28,32.361000061,28.4073619843
29,32.9239997864,28.3822784424
30,33.2459983826,28.354675293
31,32.763999939,28.3295822144
32,32.1189994812,28.3019809723
33,31.716999054,28.2768878937
34,27.6919994354,28.2492866516
35,25.517999649,28.224199295
36,25.7600002289,28.1966228485
37,27.0480003357,28.1715507507
38,27.2089996338,28.1439743042
39,27.6919994354,28.1163902283
40,28.5769996643,28.0912914276
41,28.658000946,28.063659668
42,29.3819999695,28.0385417938
43,29.8649997711,28.0109176636
44,29.8649997711,27.9858093262
45,28.5769996643,27.9581680298
46,28.1749992371,27.9329814911
47,27.3700008392,27.9052581787
48,26.8059997559,27.8800582886
49,25.0349998474,27.8523368835
50,24.7129993439,27.8271350861
51,23.5869998932,27.7994194031
52,23.0230007172,27.7742156982
53,21.6539993286,27.7464675903
54,19.5620002747,27.7212314606
55,22.1369991302,27.6934356689
56,21.4930000305,27.6681194305
57,22.7810001373,27.6402702332
58,22.6210002899,18.1736488342
59,22.7810001373,18.4295539856
60,22.4589996338,18.6606292725
61,20.2049999237,18.9142341614
62,20.4470005035,19.1445884705
63,19.8829994202,19.3974685669
64,20.125,19.6251449585
65,19.8829994202,19.8731174469
66,19.6420001984,20.0983448029
67,18.9169998169,20.3443851471
68,19.3199996948,20.5676612854
69,20.125,20.8123168945
70,18.6760005951,21.034576416
71,19.3199996948,21.2790775299
72,18.5149993896,21.5013198853
73,17.7910003662,21.7457065582
74,17.2269992828,21.9678001404
75,17.4689998627,22.2121753693
76,17.0659999847,22.4343452454
77,16.6630001068,22.6788024902
78,15.6979999542,22.923324585
79,15.2950000763,23.1456604004
80,15.5360002518,23.3902301788
81,15.6169996262,23.6125679016
82,16.422000885,23.8570842743
83,17.3880004883,24.0793552399
84,17.6289997101,24.3237838745
85,18.7569999695,24.5459861755
86,20.0450000763,24.7904129028
87,21.3330001831,25.0126228333
88,21.5739994049,25.2570533752
89,22.218000412,25.4792613983
90,25.2770004272,25.7236938477
91,28.3360004425,25.9458999634
92,30.6700000763,26.1891021729
93,31.7980003357,26.4081497192
94,32.361000061,26.6484031677
95,32.84400177,26.8655071259
96,32.6030006409,27.1042499542
97,32.6030006409,27.3425979614
98,32.9239997864,27.5584526062
99,34.0509986877,27.7946434021
100,34.3740005493,28.0060443878
101,33.6489982605,28.226896286
102,35.1790008545,28.336227417
103,36.063999176,28.3192176819
104,35.7420005798,28.2993621826
105,33.8100013733,28.2775268555
106,26.5650005341,28.2575836182
107,24.4720001221,28.2345027924
108,24.1499996185,28.2130432129
109,24.875,28.1893615723
110,26.0820007324,28.1679153442
111,28.1749992371,28.1439590454
112,28.9799995422,28.1212844849
113,30.3479995728,28.0962181091
114,30.9930000305,28.073431015
115,30.9120006561,28.0482349396
116,31.0729999542,28.0229377747
117,29.8649997711,28.0000076294
118,30.4290008545,27.9745674133
119,30.5100002289,27.9507904053
120,31.0729999542,27.9245986938
121,30.5100002289,27.9006061554
122,32.1189994812,27.8717765808
123,31.2339992523,27.8453731537
124,30.9120006561,27.81615448
125,30.9120006561,27.7895889282
126,32.0390014648,27.7603721619
127,30.267999649,27.7338066101
128,30.0259990692,27.7045860291
129,29.4629993439,27.6782245636
130,26.2430000305,27.6493721008
131,25.5990009308,27.6231498718
132,26.6459999084,27.5943069458
133,27.2889995575,27.5680847168
134,26.4039993286,27.5392379761
135,27.1280002594,27.5103797913
136,28.5769996643,27.4841651917
137,28.4969997406,27.4553050995
138,28.8190002441,27.4289855957
139,28.8990001678,27.3998775482
140,28.9799995422,27.3731021881
141,27.8530006409,27.3436450958
142,27.3700008392,27.3168640137
143,26.5650005341,27.2874088287
144,25.6800003052,27.2606296539
145,24.311000824,27.231174469
146,23.263999939,27.2043762207
147,23.263999939,27.1748733521
148,21.8159999847,27.1478729248
149,20.4470005035,27.1181526184
150,18.9979991913,27.0912055969
151,20.6879997253,27.0615634918
152,20.6879997253,27.0346450806
153,21.0100002289,27.0051498413
154,20.9300003052,18.0561771393
155,19.8829994202,18.31275177
156,20.0450000763,18.5456809998
157,19.1590003967,18.8006019592
158,19.3999996185,19.03125
159,18.5149993896,19.2839012146
160,19.4810009003,19.5099658966
161,18.9169998169,19.7574195862
162,19.1590003967,19.9820079803
163,18.8369998932,20.2272415161
164,18.3540000916,20.4497013092
165,17.8710002899,20.6944122314
166,18.2740001678,20.9167785645
167,18.8369998932,21.1613254547
168,17.3880004883,21.383644104
169,16.7439994812,21.6281967163
170,17.0659999847,21.8505134583
171,16.986000061,22.0950660706
172,16.6630001068,22.3174362183
173,16.1809997559,22.5620727539
174,16.8239994049,22.8066177368
175,16.3409996033,23.0289726257
176,17.2269992828,23.2735748291
177,16.6630001068,23.4959430695
178,17.7099990845,23.7405471802
179,17.5489997864,23.9628677368
180,18.7569999695,24.2073898315
181,19.2399997711,24.4296207428
182,20.0450000763,24.6740589142
183,20.125,24.8962783813
184,20.2859992981,25.1405448914
185,20.6079998016,25.3625564575
186,23.5869998932,25.6067008972
187,26.6459999084,25.8272895813
188,27.2889995575,26.0698451996
189,28.658000946,26.290348053
190,29.1410007477,26.5325641632
191,29.7049999237,26.7511920929
192,30.107000351,26.988368988
193,30.5900001526,27.2249794006
194,30.4290008545,27.4399337769
195,31.313999176,27.676399231
196,32.2000007629,27.89112854
197,31.7980003357,28.1253623962
198,33.4879989624,28.2404136658
199,33.3269996643,28.2172584534
200,33.1660003662,28.1952285767
201,31.5559997559,28.1709880829
202,25.2770004272,28.1489200592
203,22.5400009155,28.1245517731
204,22.6210002899,28.1019363403
205,23.4249992371,28.0770606995
206,23.0230007172,28.0544452667
207,25.1959991455,28.0295677185
208,26.4039993286,28.0069541931
209,28.1749992371,27.9821014404
210,28.658000946,27.9590911865
211,28.2549991608,27.9334716797
212,29.1410007477,27.9078540802
213,28.4169998169,27.8845615387
214,28.5769996643,27.8589019775
215,28.013999939,27.8351135254
216,28.4169998169,27.8087482452
217,27.8530006409,27.7847080231
218,28.658000946,27.7581977844
219,28.9799995422,27.7341003418
220,29.7849998474,27.7052059174
221,29.3819999695,27.6788196564
222,29.2220001221,27.6498336792
223,29.0599994659,27.6234798431
224,29.3020000458,27.5943984985
225,28.4969997406,27.5678710938
226,26.0009994507,27.538608551
227,24.7940006256,27.512008667
228,25.5990009308,27.482749939
229,24.3920001984,27.4561481476
230,23.7469997406,27.4268875122
231,24.311000824,27.3976287842
