ID,site,year,month,day,hour,holiday,maxtemp,mintemp,weatherType,load
0,0.0,0.0,0.0,0.0,0.0,0.0,0.812,0.27,0.0,21.091
1,0.143,0.0,0.0,0.0,0.0,0.0,0.812,0.27,0.0,0.821
2,0.19,0.0,0.0,0.0,0.0,0.0,0.812,0.27,0.0,0.222
3,0.238,0.0,0.0,0.0,0.0,0.0,0.812,0.27,0.0,4.497
4,0.381,0.0,0.0,0.0,0.0,0.0,0.812,0.27,0.0,5.551
5,0.429,0.0,0.0,0.0,0.0,0.0,0.812,0.27,0.0,8.198
6,0.476,0.0,0.0,0.0,0.0,0.0,0.812,0.27,0.0,7.317
7,0.619,0.0,0.0,0.0,0.0,0.0,0.812,0.27,0.0,2.243
8,0.667,0.0,0.0,0.0,0.0,0.0,0.812,0.27,0.0,1.802
9,0.714,0.0,0.0,0.0,0.0,0.0,0.812,0.27,0.0,2.041
10,0.81,0.0,0.0,0.0,0.0,0.0,0.812,0.27,0.0,1.062
11,0.857,0.0,0.0,0.0,0.0,0.0,0.812,0.27,0.0,1.849
12,0.905,0.0,0.0,0.0,0.0,0.0,0.812,0.27,0.0,1.935
13,0.952,0.0,0.0,0.0,0.0,0.0,0.812,0.27,0.0,2.175
14,1.0,0.0,0.0,0.0,0.0,0.0,0.812,0.27,0.0,2.504
15,0.0,0.0,0.0,0.0,0.011,0.0,0.812,0.27,0.0,21.333
16,0.143,0.0,0.0,0.0,0.011,0.0,0.812,0.27,0.0,0.804
17,0.19,0.0,0.0,0.0,0.011,0.0,0.812,0.27,0.0,0.257
18,0.238,0.0,0.0,0.0,0.011,0.0,0.812,0.27,0.0,4.6
19,0.381,0.0,0.0,0.0,0.011,0.0,0.812,0.27,0.0,5.636
20,0.429,0.0,0.0,0.0,0.011,0.0,0.812,0.27,0.0,8.125
21,0.476,0.0,0.0,0.0,0.011,0.0,0.812,0.27,0.0,7.366
22,0.619,0.0,0.0,0.0,0.011,0.0,0.812,0.27,0.0,2.268
23,0.667,0.0,0.0,0.0,0.011,0.0,0.812,0.27,0.0,1.436
24,0.714,0.0,0.0,0.0,0.011,0.0,0.812,0.27,0.0,2.129
25,0.81,0.0,0.0,0.0,0.011,0.0,0.812,0.27,0.0,1.062
26,0.857,0.0,0.0,0.0,0.011,0.0,0.812,0.27,0.0,1.515
27,0.905,0.0,0.0,0.0,0.011,0.0,0.812,0.27,0.0,1.871
28,0.952,0.0,0.0,0.0,0.011,0.0,0.812,0.27,0.0,2.314
29,1.0,0.0,0.0,0.0,0.011,0.0,0.812,0.27,0.0,2.858
30,0.0,0.0,0.0,0.0,0.021,0.0,0.812,0.27,0.0,20.608
31,0.143,0.0,0.0,0.0,0.021,0.0,0.812,0.27,0.0,0.77
32,0.19,0.0,0.0,0.0,0.021,0.0,0.812,0.27,0.0,0.257
33,0.238,0.0,0.0,0.0,0.021,0.0,0.812,0.27,0.0,4.378
34,0.381,0.0,0.0,0.0,0.021,0.0,0.812,0.27,0.0,5.423
35,0.429,0.0,0.0,0.0,0.021,0.0,0.812,0.27,0.0,7.979
36,0.476,0.0,0.0,0.0,0.021,0.0,0.812,0.27,0.0,6.976
37,0.619,0.0,0.0,0.0,0.021,0.0,0.812,0.27,0.0,2.444
38,0.667,0.0,0.0,0.0,0.021,0.0,0.812,0.27,0.0,1.474
39,0.714,0.0,0.0,0.0,0.021,0.0,0.812,0.27,0.0,2.003
40,0.81,0.0,0.0,0.0,0.021,0.0,0.812,0.27,0.0,1.012
41,0.857,0.0,0.0,0.0,0.021,0.0,0.812,0.27,0.0,1.697
42,0.905,0.0,0.0,0.0,0.021,0.0,0.812,0.27,0.0,1.517
43,0.952,0.0,0.0,0.0,0.021,0.0,0.812,0.27,0.0,2.225
44,1.0,0.0,0.0,0.0,0.021,0.0,0.812,0.27,0.0,2.668
45,0.0,0.0,0.0,0.0,0.032,0.0,0.812,0.27,0.0,20.447
46,0.143,0.0,0.0,0.0,0.032,0.0,0.812,0.27,0.0,0.77
47,0.19,0.0,0.0,0.0,0.032,0.0,0.812,0.27,0.0,0.239
48,0.238,0.0,0.0,0.0,0.032,0.0,0.812,0.27,0.0,4.189
49,0.381,0.0,0.0,0.0,0.032,0.0,0.812,0.27,0.0,5.252
50,0.429,0.0,0.0,0.0,0.032,0.0,0.812,0.27,0.0,8.125
51,0.476,0.0,0.0,0.0,0.032,0.0,0.812,0.27,0.0,7.268
52,0.619,0.0,0.0,0.0,0.032,0.0,0.812,0.27,0.0,2.394
53,0.667,0.0,0.0,0.0,0.032,0.0,0.812,0.27,0.0,1.273
54,0.714,0.0,0.0,0.0,0.032,0.0,0.812,0.27,0.0,1.915
55,0.81,0.0,0.0,0.0,0.032,0.0,0.812,0.27,0.0,0.999
56,0.857,0.0,0.0,0.0,0.032,0.0,0.812,0.27,0.0,1.758
57,0.905,0.0,0.0,0.0,0.032,0.0,0.812,0.27,0.0,1.555
58,0.952,0.0,0.0,0.0,0.032,0.0,0.812,0.27,0.0,2.263
59,1.0,0.0,0.0,0.0,0.032,0.0,0.812,0.27,0.0,3.009
60,0.0,0.0,0.0,0.0,0.042,0.0,0.812,0.27,0.0,20.125
61,0.143,0.0,0.0,0.0,0.042,0.0,0.812,0.27,0.0,0.735
62,0.19,0.0,0.0,0.0,0.042,0.0,0.812,0.27,0.0,0.222
63,0.238,0.0,0.0,0.0,0.042,0.0,0.812,0.27,0.0,4.446
64,0.381,0.0,0.0,0.0,0.042,0.0,0.812,0.27,0.0,5.636
65,0.429,0.0,0.0,0.0,0.042,0.0,0.812,0.27,0.0,7.686
