ID,hour,holiday,maxtemp,mintemp,load
0,0,0,0.812,0.27,21.091
1,0.011,0,0.812,0.27,21.333
2,0.021,0,0.812,0.27,20.608
3,0.032,0,0.812,0.27,20.447
4,0.042,0,0.812,0.27,20.125
5,0.053,0,0.812,0.27,20.125
6,0.063,0,0.812,0.27,19.079
7,0.074,0,0.812,0.27,19.24
8,0.084,0,0.812,0.27,18.998
9,0.095,0,0.812,0.27,19.32
10,0.105,0,0.812,0.27,18.837
11,0.116,0,0.812,0.27,17.871
12,0.126,0,0.812,0.27,17.629
13,0.137,0,0.812,0.27,18.595
14,0.147,0,0.812,0.27,18.434
15,0.158,0,0.812,0.27,17.951
16,0.168,0,0.812,0.27,17.871
17,0.179,0,0.812,0.27,17.307
18,0.189,0,0.812,0.27,17.307
19,0.2,0,0.812,0.27,17.146
20,0.211,0,0.812,0.27,17.307
21,0.221,0,0.812,0.27,17.146
22,0.232,0,0.812,0.27,16.744
23,0.242,0,0.812,0.27,17.146
24,0.253,0,0.812,0.27,18.193
25,0.263,0,0.812,0.27,18.354
26,0.274,0,0.812,0.27,19.159
27,0.284,0,0.812,0.27,19.642
28,0.295,0,0.812,0.27,20.93
29,0.305,0,0.812,0.27,21.896
30,0.316,0,0.812,0.27,23.023
31,0.326,0,0.812,0.27,23.828
32,0.337,0,0.812,0.27,26.646
33,0.347,0,0.812,0.27,28.899
34,0.358,0,0.812,0.27,30.268
35,0.368,0,0.812,0.27,31.234
36,0.379,0,0.812,0.27,31.878
37,0.389,0,0.812,0.27,33.085
38,0.4,0,0.812,0.27,32.28
39,0.411,0,0.812,0.27,32.683
40,0.421,0,0.812,0.27,34.374
41,0.432,0,0.812,0.27,33.89
42,0.442,0,0.812,0.27,33.649
43,0.453,0,0.812,0.27,34.293
44,0.463,0,0.812,0.27,35.098
45,0.474,0,0.812,0.27,35.742
46,0.484,0,0.812,0.27,35.098
47,0.495,0,0.812,0.27,33.488
48,0.505,0,0.812,0.27,27.37
49,0.516,0,0.812,0.27,25.196
50,0.526,0,0.812,0.27,25.196
51,0.537,0,0.812,0.27,24.955
52,0.547,0,0.812,0.27,25.518
53,0.558,0,0.812,0.27,27.692
54,0.568,0,0.812,0.27,29.382
55,0.579,0,0.812,0.27,29.382
56,0.589,0,0.812,0.27,30.188
57,0.6,0,0.812,0.27,30.993
58,0.611,0,0.812,0.27,31.153
59,0.621,0,0.812,0.27,30.268
60,0.632,0,0.812,0.27,29.946
61,0.642,0,0.812,0.27,30.026
62,0.653,0,0.812,0.27,29.624
63,0.663,0,0.812,0.27,29.946
64,0.674,0,0.812,0.27,30.026
65,0.684,0,0.812,0.27,30.993
66,0.695,0,0.812,0.27,30.831
67,0.705,0,0.812,0.27,30.188
68,0.716,0,0.812,0.27,29.946
69,0.726,0,0.812,0.27,29.463
70,0.737,0,0.812,0.27,30.268
71,0.747,0,0.812,0.27,28.094
72,0.758,0,0.812,0.27,25.76
73,0.768,0,0.812,0.27,25.277
74,0.779,0,0.812,0.27,26.082
75,0.789,0,0.812,0.27,26.001
76,0.8,0,0.812,0.27,26.001
77,0.811,0,0.812,0.27,26.968
78,0.821,0,0.812,0.27,28.094
79,0.832,0,0.812,0.27,28.497
80,0.842,0,0.812,0.27,28.417
81,0.853,0,0.812,0.27,28.175
82,0.863,0,0.812,0.27,27.611
83,0.874,0,0.812,0.27,27.128
84,0.884,0,0.812,0.27,27.128
85,0.895,0,0.812,0.27,26.646
86,0.905,0,0.812,0.27,24.23
87,0.916,0,0.812,0.27,24.069
88,0.926,0,0.812,0.27,23.506
89,0.937,0,0.812,0.27,22.057
90,0.947,0,0.812,0.27,21.01
91,0.958,0,0.812,0.27,19.803
92,0.968,0,0.812,0.27,19.481
93,0.979,0,0.812,0.27,19.159
94,0.989,0,0.812,0.27,18.515
95,1,0,0.812,0.27,19.883
96,0,0,0.754,0.67,20.045
97,0.011,0,0.754,0.67,18.595
98,0.021,0,0.754,0.67,18.676
99,0.032,0,0.754,0.67,18.354
100,0.042,0,0.754,0.67,17.951
101,0.053,0,0.754,0.67,19.159
102,0.063,0,0.754,0.67,17.388
103,0.074,0,0.754,0.67,18.274
104,0.084,0,0.754,0.67,18.757
105,0.095,0,0.754,0.67,17.791
106,0.105,0,0.754,0.67,16.824
107,0.116,0,0.754,0.67,16.503
108,0.126,0,0.754,0.67,15.858
109,0.137,0,0.754,0.67,16.503
110,0.147,0,0.754,0.67,16.422
111,0.158,0,0.754,0.67,15.939
112,0.168,0,0.754,0.67,15.939
113,0.179,0,0.754,0.67,16.261
114,0.189,0,0.754,0.67,15.778
115,0.2,0,0.754,0.67,15.698
116,0.211,0,0.754,0.67,15.536
117,0.221,0,0.754,0.67,15.617
118,0.232,0,0.754,0.67,15.536
119,0.242,0,0.754,0.67,15.536
120,0.253,0,0.754,0.67,16.341
121,0.263,0,0.754,0.67,16.824
122,0.274,0,0.754,0.67,17.71
123,0.284,0,0.754,0.67,19.079
124,0.295,0,0.754,0.67,19.642
125,0.305,0,0.754,0.67,21.493
126,0.316,0,0.754,0.67,22.459
127,0.326,0,0.754,0.67,23.909
128,0.337,0,0.754,0.67,26.082
129,0.347,0,0.754,0.67,28.819
130,0.358,0,0.754,0.67,31.395
131,0.368,0,0.754,0.67,31.878
132,0.379,0,0.754,0.67,33.005
133,0.389,0,0.754,0.67,33.166
134,0.4,0,0.754,0.67,33.569
135,0.411,0,0.754,0.67,33.488
136,0.421,0,0.754,0.67,34.213
137,0.432,0,0.754,0.67,34.213
138,0.442,0,0.754,0.67,34.615
139,0.453,0,0.754,0.67,34.856
140,0.463,0,0.754,0.67,35.5
141,0.474,0,0.754,0.67,35.742
142,0.484,0,0.754,0.67,36.386
143,0.495,0,0.754,0.67,35.017
144,0.505,0,0.754,0.67,27.853
145,0.516,0,0.754,0.67,25.518
146,0.526,0,0.754,0.67,25.599
147,0.537,0,0.754,0.67,26.565
148,0.547,0,0.754,0.67,26.806
149,0.558,0,0.754,0.67,29.06
150,0.568,0,0.754,0.67,29.946
151,0.579,0,0.754,0.67,30.912
152,0.589,0,0.754,0.67,33.005
153,0.6,0,0.754,0.67,32.844
154,0.611,0,0.754,0.67,31.717
155,0.621,0,0.754,0.67,30.912
156,0.632,0,0.754,0.67,31.234
157,0.642,0,0.754,0.67,31.153
158,0.653,0,0.754,0.67,30.993
159,0.663,0,0.754,0.67,30.51
160,0.674,0,0.754,0.67,30.59
161,0.684,0,0.754,0.67,30.831
162,0.695,0,0.754,0.67,31.556
163,0.705,0,0.754,0.67,31.958
164,0.716,0,0.754,0.67,30.51
165,0.726,0,0.754,0.67,31.314
166,0.737,0,0.754,0.67,30.831
167,0.747,0,0.754,0.67,30.59
168,0.758,0,0.754,0.67,28.497
169,0.768,0,0.754,0.67,27.128
170,0.779,0,0.754,0.67,27.853
171,0.789,0,0.754,0.67,27.772
172,0.8,0,0.754,0.67,28.014
173,0.811,0,0.754,0.67,28.658
174,0.821,0,0.754,0.67,29.705
175,0.832,0,0.754,0.67,30.107
