ID,site,year,month,day,hour,holiday,maxtemp,mintemp,weatherType,load
0,0,2016,3,1,0.0,0,22.0,10.1,1,-21.091
1,3,2016,3,1,0.0,0,22.0,10.1,1,0.821
2,4,2016,3,1,0.0,0,22.0,10.1,1,0.222
3,5,2016,3,1,0.0,0,22.0,10.1,1,4.497
4,8,2016,3,1,0.0,0,22.0,10.1,1,-5.551
5,9,2016,3,1,0.0,0,22.0,10.1,1,-8.198
6,10,2016,3,1,0.0,0,22.0,10.1,1,-7.317
7,13,2016,3,1,0.0,0,22.0,10.1,1,2.243
8,14,2016,3,1,0.0,0,22.0,10.1,1,1.802
9,15,2016,3,1,0.0,0,22.0,10.1,1,2.041
10,17,2016,3,1,0.0,0,22.0,10.1,1,1.062
11,18,2016,3,1,0.0,0,22.0,10.1,1,1.849
12,19,2016,3,1,0.0,0,22.0,10.1,1,1.935
13,20,2016,3,1,0.0,0,22.0,10.1,1,2.175
14,21,2016,3,1,0.0,0,22.0,10.1,1,2.504
15,0,2016,3,1,0.25,0,22.0,10.1,1,-21.333
16,3,2016,3,1,0.25,0,22.0,10.1,1,0.804
17,4,2016,3,1,0.25,0,22.0,10.1,1,0.257
18,5,2016,3,1,0.25,0,22.0,10.1,1,4.6
19,8,2016,3,1,0.25,0,22.0,10.1,1,-5.636
20,9,2016,3,1,0.25,0,22.0,10.1,1,-8.125
21,10,2016,3,1,0.25,0,22.0,10.1,1,-7.366
22,13,2016,3,1,0.25,0,22.0,10.1,1,2.268
23,14,2016,3,1,0.25,0,22.0,10.1,1,1.436
24,15,2016,3,1,0.25,0,22.0,10.1,1,2.129
25,17,2016,3,1,0.25,0,22.0,10.1,1,1.062
26,18,2016,3,1,0.25,0,22.0,10.1,1,1.515
27,19,2016,3,1,0.25,0,22.0,10.1,1,1.871
28,20,2016,3,1,0.25,0,22.0,10.1,1,2.314
29,21,2016,3,1,0.25,0,22.0,10.1,1,2.858
30,0,2016,3,1,0.5,0,22.0,10.1,1,-20.608
31,3,2016,3,1,0.5,0,22.0,10.1,1,0.77
