ID,Decision_Tree,True_Data,DeepRNN_LSTM,ANN
0,19.159,22.621,22.21024895,17.39433289
1,19.4,21.976,22.23650169,17.65903854
2,18.434,21.735,21.85985374,17.89966202
3,18.434,21.171,20.32248306,18.16434479
4,18.515,21.735,20.78290749,18.40496826
5,18.274,22.299,20.47762108,18.66981125
6,17.388,22.299,20.69203186,18.91059875
7,17.146,21.574,20.30013466,19.17547798
8,16.744,20.366,20.16456413,19.41625404
9,16.663,20.205,19.97321892,19.6811409
10,17.066,20.366,19.70159721,19.92208481
11,18.595,19.964,19.38360405,20.18712235
12,18.515,18.917,19.0145607,20.4280262
13,17.871,19.32,18.62298203,20.69286537
14,18.032,18.274,18.23493576,20.93366241
15,16.744,17.629,17.87866783,21.19858933
16,17.066,18.193,17.58872032,21.43945694
17,17.408,18.434,17.42086601,21.70441437
18,17.408,18.676,17.36672592,21.9452858
19,16.946,18.595,17.17489052,22.21024323
20,17.549,18.354,16.92069054,22.47520065
21,16.181,17.629,16.85561943,22.71607018
22,16.905,19.24,16.98270607,22.9810257
23,16.905,18.998,17.33441353,23.22187042
24,17.71,17.951,17.91054726,23.48676491
25,17.469,19.642,18.49762535,23.72758102
26,18.354,19.803,19.43739891,23.99247742
27,21.413,21.976,20.27388191,24.23329163
28,21.735,22.942,21.33123207,24.49818802
29,20.366,22.459,22.30153847,24.73890686
30,22.379,22.942,23.4195137,25.00359535
31,23.747,24.069,25.61118317,25.24422264
32,23.587,25.921,25.4379673,25.50891304
33,26.646,28.577,27.43737221,25.74947929
34,30.993,30.51,31.86627197,26.01409721
35,31.878,32.2,31.6029129,26.25465012
36,32.764,31.717,31.99261169,26.51892853
37,33.971,33.246,32.49886322,26.75918007
38,33.629,33.971,32.91215019,27.02319908
39,33.971,34.213,33.7142868,27.28647804
40,34.856,34.213,33.83300629,27.52482986
41,34.696,34.856,33.95006943,27.78632736
42,34.776,34.937,34.11392975,28.02339554
43,35.34,35.098,34.95281219,28.28328133
44,36.466,36.466,35.96744537,28.51253128
45,35.179,37.593,37.01132202,28.75217819
46,35.098,37.513,37.40119171,28.83704376
47,33.569,33.246,35.746521,28.85271072
48,27.289,26.484,30.01452637,28.84310722
49,23.909,23.587,25.97290993,28.82634544
50,24.069,24.552,24.99828529,28.80735207
51,25.599,25.68,25.33925247,28.78249741
52,28.577,26.001,26.39775467,28.75779152
53,29.302,28.336,28.57061577,28.7304039
54,31.073,30.107,30.68533516,28.70550156
55,31.744,30.67,31.80019569,28.67811203
56,31.744,31.878,32.43865585,28.65322113
57,31.744,32.522,32.55056763,28.62548637
58,32.643,31.556,32.43935394,28.59550858
59,32.052,31.314,32.30562592,28.56802177
60,32.052,32.039,32.23241425,28.53730392
61,32.052,32.522,32.21891403,28.50901985
62,32.884,32.28,32.26415634,28.47788239
63,32.884,32.039,32.36794281,28.44950104
64,32.341,31.798,32.52970886,28.41786957
65,32.341,31.958,32.74277496,28.38893127
66,32.592,31.395,32.95104599,28.35709
67,32.592,31.636,33.03000641,28.32814789
68,31.999,31.153,32.79176712,28.29622459
69,32.764,30.993,31.85556602,28.26711273
70,32.119,31.073,30.17715263,28.23509216
71,29.785,29.865,29.14655495,28.20598221
72,27.692,27.209,27.8069458,28.17378235
73,25.518,27.451,27.78980446,28.14438629
74,25.76,26.646,26.96814728,28.11201668
75,27.048,26.646,26.22761154,28.0825882
76,27.209,26.001,26.11208115,28.0502243
77,27.692,27.289,27.49120903,28.0178566
78,28.577,27.934,27.91288948,27.98843002
79,28.658,28.255,28.78483391,27.95606232
80,29.704,28.98,28.9616375,27.92663956
81,29.704,29.222,29.23356628,27.89426804
82,29.704,29.463,29.04297256,27.86484337
83,28.98,29.302,29.12244225,27.83247757
84,27.128,28.094,28.972826,27.80305099
85,27.37,28.255,28.33298683,27.77068329
86,24.23,27.37,27.31412888,27.74125671
87,25.035,25.518,26.11078072,27.70889091
88,24.955,25.196,25.04374504,27.67946053
89,23.587,23.909,23.96258354,27.64705658
90,23.023,21.896,22.79892159,27.61760139
91,21.654,20.447,21.73597527,27.58518982
92,19.562,21.252,21.06874275,27.55573273
93,22.137,21.574,21.1565609,27.52333069
94,21.493,21.493,21.69380188,27.49386978
95,22.781,22.137,22.00077438,27.46146584
