,true_data,pre_data
0,33.3269996643,30.6488895416
1,34.2929992676,33.6053733826
2,33.6489982605,34.5365180969
3,34.6150016785,35.0466690063
4,35.2589988708,35.6257972717
5,36.547000885,35.981967926
6,36.9500007629,36.6599464417
7,37.8349990845,36.8596038818
8,37.6739997864,35.565486908
9,34.7760009766,30.7481632233
10,27.2889995575,25.7488059998
11,25.4379997253,24.8927955627
12,25.3579998016,25.4768409729
13,25.5990009308,25.5307865143
14,28.0939998627,26.5591812134
15,28.9799995422,29.2405643463
16,31.0729999542,30.6314201355
17,30.5900001526,31.830039978
18,32.0390014648,32.1951560974
19,31.2339992523,32.1836051941
20,31.6359996796,31.9836196899
21,32.4410018921,31.692363739
22,30.9120006561,31.7706375122
23,30.3479995728,31.9053649902
24,31.5559997559,32.0793418884
25,31.4759998322,32.2282447815
26,32.2000007629,32.3295783997
27,31.5559997559,32.3785514832
28,32.361000061,32.3813438416
29,32.9239997864,32.3437347412
30,33.2459983826,32.2577857971
31,32.763999939,32.0795707703
32,32.1189994812,31.6675510406
33,31.716999054,30.7315750122
34,27.6919994354,29.1876678467
35,25.517999649,28.1587677002
36,25.7600002289,28.1513137817
37,27.0480003357,28.305814743
38,27.2089996338,28.5501670837
39,27.6919994354,29.0233154297
40,28.5769996643,27.1701583862
41,28.658000946,28.846622467
42,29.3819999695,28.6208686829
43,29.8649997711,28.7988853455
44,29.8649997711,28.5973415375
45,28.5769996643,28.8195304871
46,28.1749992371,28.6976928711
47,27.3700008392,27.9366149902
48,26.8059997559,26.6550941467
49,25.0349998474,25.8906555176
50,24.7129993439,24.7072296143
51,23.5869998932,23.7018146515
52,23.0230007172,22.3170661926
53,21.6539993286,21.1838512421
54,19.5620002747,20.7277030945
55,22.1369991302,21.2488174438
56,21.4930000305,21.736032486
57,22.7810001373,21.9956207275
58,22.6210002899,22.3982906342
59,22.7810001373,22.3736991882
60,22.4589996338,21.906206131
61,20.2049999237,21.3092136383
62,20.4470005035,21.0305099487
63,19.8829994202,21.0595855713
64,20.125,20.9080562592
65,19.8829994202,20.7293815613
66,19.6420001984,20.6558456421
67,18.9169998169,20.5407981873
68,19.3199996948,20.3524093628
69,20.125,20.0566005707
70,18.6760005951,19.6930065155
71,19.3199996948,19.3344726562
72,18.5149993896,18.9073410034
73,17.7910003662,18.4012374878
74,17.2269992828,17.8877906799
75,17.4689998627,17.4561862946
76,17.0659999847,17.1499958038
77,16.6630001068,16.9617919922
78,15.6979999542,16.831615448
79,15.2950000763,16.6870632172
80,15.5360002518,18.6965065002
81,15.6169996262,17.3887825012
82,16.422000885,17.2268867493
83,17.3880004883,17.2968292236
84,17.6289997101,17.534198761
85,18.7569999695,18.2886219025
86,20.0450000763,19.2596130371
87,21.3330001831,20.2215576172
88,21.5739994049,21.4585800171
89,22.218000412,22.9268493652
90,25.2770004272,25.1715373993
91,28.3360004425,28.120300293
92,30.6700000763,30.1053009033
93,31.7980003357,31.1287956238
94,32.361000061,31.5158081055
95,32.84400177,32.3087501526
96,32.6030006409,32.6352577209
97,32.6030006409,32.8631439209
98,32.9239997864,32.9575004578
99,34.0509986877,33.126625061
100,34.3740005493,33.3469429016
101,33.6489982605,33.6299934387
102,35.1790008545,34.3135566711
103,36.063999176,35.1446266174
104,35.7420005798,34.6640739441
105,33.8100013733,30.4852561951
106,26.5650005341,26.455247879
107,24.4720001221,24.4132118225
108,24.1499996185,23.9851379395
109,24.875,24.5166282654
110,26.0820007324,25.6927986145
111,28.1749992371,28.2307510376
112,28.9799995422,29.2568359375
113,30.3479995728,30.1583957672
114,30.9930000305,30.0898704529
115,30.9120006561,29.9680023193
116,31.0729999542,29.9854068756
117,29.8649997711,30.2338600159
118,30.4290008545,30.2104797363
119,30.5100002289,30.0733699799
120,31.0729999542,30.216583252
121,30.5100002289,29.7195549011
122,32.1189994812,30.1201934814
123,31.2339992523,30.4632873535
124,30.9120006561,30.0764446259
125,30.9120006561,29.8247108459
126,32.0390014648,29.5079517365
127,30.267999649,29.166009903
128,30.0259990692,28.7876625061
129,29.4629993439,28.3230819702
130,26.2430000305,27.5844860077
131,25.5990009308,26.9402828217
132,26.6459999084,26.6951675415
133,27.2889995575,26.5892105103
134,26.4039993286,26.5857524872
135,27.1280002594,26.752866745
136,28.5769996643,27.2157287598
137,28.4969997406,27.8526268005
138,28.8190002441,28.0980529785
139,28.8990001678,28.0116004944
140,28.9799995422,27.5112552643
141,27.8530006409,26.561920166
142,27.3700008392,26.0427932739
143,26.5650005341,25.1004638672
144,25.6800003052,24.1382045746
145,24.311000824,22.9428710938
146,23.263999939,22.0811882019
147,23.263999939,21.2715606689
148,21.8159999847,20.3733863831
149,20.4470005035,19.7733669281
150,18.9979991913,19.5780029297
151,20.6879997253,19.6837062836
152,20.6879997253,19.8886585236
153,21.0100002289,20.0304889679
154,20.9300003052,20.2891635895
155,19.8829994202,20.2311382294
156,20.0450000763,20.1281013489
157,19.1590003967,20.0057506561
158,19.3999996185,19.953754425
159,18.5149993896,19.8915176392
160,19.4810009003,19.3766555786
161,18.9169998169,20.9203033447
162,19.1590003967,20.3129634857
163,18.8369998932,20.1507148743
164,18.3540000916,20.0156364441
165,17.8710002899,19.7925033569
166,18.2740001678,19.493434906
167,18.8369998932,19.1626491547
168,17.3880004883,18.8122730255
169,16.7439994812,18.4611492157
170,17.0659999847,18.1243553162
171,16.986000061,17.8123703003
172,16.6630001068,17.5356121063
173,16.1809997559,17.2996025085
174,16.8239994049,17.1109466553
175,16.3409996033,16.9788246155
176,17.2269992828,16.9135227203
177,16.6630001068,16.9342975616
178,17.7099990845,17.0701942444
179,17.5489997864,17.3583278656
180,18.7569999695,17.833026886
181,19.2399997711,18.4760665894
182,20.0450000763,19.2380943298
183,20.125,20.2128944397
184,20.2859992981,21.4494819641
185,20.6079998016,22.641204834
186,23.5869998932,24.8469467163
187,26.6459999084,27.8520870209
188,27.2889995575,30.0834274292
189,28.658000946,31.0731658936
190,29.1410007477,31.3655395508
191,29.7049999237,32.0714797974
192,30.107000351,32.4235534668
193,30.5900001526,32.607219696
194,30.4290008545,32.7479057312
195,31.313999176,33.0091247559
196,32.2000007629,33.288684845
197,31.7980003357,33.5489006042
198,33.4879989624,34.0639724731
199,33.3269996643,34.9425621033
200,33.1660003662,32.1876792908
201,31.5559997559,30.7688236237
202,25.2770004272,28.7358760834
203,22.5400009155,25.1623573303
204,22.6210002899,24.0623950958
205,23.4249992371,24.4157772064
206,23.0230007172,25.9673156738
207,25.1959991455,28.4339046478
208,26.4039993286,29.0159416199
209,28.1749992371,29.5909900665
210,28.658000946,30.012260437
211,28.2549991608,30.0013790131
212,29.1410007477,29.9664077759
213,28.4169998169,30.0744132996
214,28.5769996643,29.9853820801
215,28.013999939,29.7751235962
216,28.4169998169,29.8162231445
217,27.8530006409,29.9775104523
218,28.658000946,30.1471290588
219,28.9799995422,30.2669258118
220,29.7849998474,30.3320350647
221,29.3819999695,30.3392047882
222,29.2220001221,30.267698288
223,29.0599994659,30.0783958435
224,29.3020000458,29.6790084839
225,28.4969997406,28.8305282593
226,26.0009994507,27.2340164185
227,24.7940006256,25.9211502075
228,25.5990009308,25.7874698639
229,24.3920001984,25.7718658447
230,23.7469997406,25.9292907715
231,24.311000824,26.3011875153
232,25.0349998474,27.0051078796
233,25.2770004272,27.6135044098
234,26.3229999542,27.579328537
235,26.0009994507,27.3672676086
236,26.4039993286,26.725402832
237,25.3579998016,26.1963481903
238,24.7129993439,25.6148052216
239,23.827999115,24.6953907013
240,22.8619995117,23.9827671051
241,21.8159999847,24.0326080322
242,21.2520008087,22.2552146912
243,20.6079998016,22.280506134
244,19.8829994202,20.8704891205
245,18.8369998932,20.3675003052
246,17.7910003662,20.3093986511
247,18.2740001678,20.1953430176
248,19.6420001984,20.1286277771
249,19.5620002747,20.2517662048
250,19.1590003967,19.3409919739
251,19.3999996185,18.7549724579
252,18.4340000153,18.5008888245
253,18.4340000153,18.3972682953
254,18.5149993896,18.3653411865
255,18.2740001678,18.3073062897
256,17.3880004883,18.2223548889
257,17.1459999084,18.0917396545
258,16.7439994812,17.9357185364
259,16.6630001068,17.7485237122
260,17.0659999847,17.4452457428
261,17.3069992065,16.9759292603
262,18.1119995117,16.4286060333
263,17.4689998627,15.9088001251
264,17.0659999847,15.4875860214
265,16.1809997559,15.1748733521
266,16.422000885,14.9479103088
267,14.8120002747,14.7841320038
268,15.4560003281,14.6908578873
269,14.9729995728,14.7007484436
270,15.4560003281,14.846529007
271,15.1339998245,15.1134252548
272,15.6169996262,15.2862892151
273,15.7779998779,15.3133506775
274,15.6979999542,15.4842243195
275,17.4689998627,15.9615783691
276,18.3540000916,16.6837406158
