ID,true_data,pre_data
0,33.3269996643,30.5619525909
1,34.2929992676,34.2309417725
2,33.6489982605,34.5627708435
3,34.6150016785,34.0976028442
4,35.2589988708,34.206325531
5,36.547000885,35.0077972412
6,36.9500007629,35.9333229065
7,37.8349990845,37.2172851562
8,37.6739997864,37.3509979248
9,34.7760009766,35.7486915588
10,27.2889995575,29.8673362732
11,25.4379997253,26.1046619415
12,25.3579998016,25.2711524963
13,25.5990009308,25.5331020355
14,28.0939998627,26.545545578
15,28.9799995422,28.6977863312
16,31.0729999542,30.849275589
17,30.5900001526,31.9937458038
18,32.0390014648,32.6250228882
19,31.2339992523,32.7380523682
20,31.6359996796,32.6280670166
21,32.4410018921,32.4710540771
22,30.9120006561,32.3720626831
23,30.3479995728,32.3384017944
24,31.5559997559,32.3700523376
25,31.4759998322,32.4666213989
26,32.2000007629,32.6263427734
27,31.5559997559,32.8414382935
28,32.361000061,33.0627403259
29,32.9239997864,33.1910629272
30,33.2459983826,33.1133499146
31,32.763999939,32.6020736694
32,32.1189994812,31.2181758881
33,31.716999054,29.6197452545
34,27.6919994354,29.0454387665
35,25.517999649,28.9576282501
36,25.7600002289,29.1154613495
37,27.0480003357,29.386882782
38,27.2089996338,29.66929245
39,27.6919994354,30.1253452301
40,28.5769996643,27.6387996674
41,28.658000946,28.9225788116
42,29.3819999695,29.2326526642
43,29.8649997711,29.4758243561
44,29.8649997711,29.1418437958
45,28.5769996643,29.1445159912
46,28.1749992371,28.9360027313
47,27.3700008392,28.1804256439
48,26.8059997559,26.9963779449
49,25.0349998474,25.7813072205
50,24.7129993439,24.7552070618
51,23.5869998932,23.6490287781
52,23.0230007172,22.5231990814
53,21.6539993286,21.6081409454
54,19.5620002747,21.1863536835
55,22.1369991302,21.5246543884
56,21.4930000305,22.0208873749
57,22.7810001373,22.3620147705
58,22.6210002899,22.5575885773
59,22.7810001373,22.3995838165
60,22.4589996338,22.2690525055
61,20.2049999237,21.3919506073
62,20.4470005035,21.4353237152
63,19.8829994202,21.5883808136
64,20.125,21.5187034607
65,19.8829994202,21.3992176056
66,19.6420001984,21.2222709656
67,18.9169998169,20.8605556488
68,19.3199996948,20.6103019714
69,20.125,20.3760089874
70,18.6760005951,20.0796108246
71,19.3199996948,19.7152462006
72,18.5149993896,19.2932357788
73,17.7910003662,18.840669632
74,17.2269992828,18.3983592987
75,17.4689998627,18.0062046051
76,17.0659999847,17.7224788666
77,16.6630001068,17.6808757782
78,15.6979999542,17.7951526642
79,15.2950000763,17.6176643372
80,15.5360002518,19.0661773682
81,15.6169996262,17.1543502808
82,16.422000885,17.0423908234
83,17.3880004883,17.3401165009
84,17.6289997101,18.0010948181
85,18.7569999695,18.7024593353
86,20.0450000763,19.624786377
87,21.3330001831,20.6792697906
88,21.5739994049,21.4514598846
89,22.218000412,22.7550945282
90,25.2770004272,25.4914169312
91,28.3360004425,28.5777702332
92,30.6700000763,30.5879268646
93,31.7980003357,31.9585132599
94,32.361000061,32.4781227112
95,32.84400177,32.9738845825
96,32.6030006409,33.4859237671
97,32.6030006409,33.8578338623
98,32.9239997864,34.1402244568
99,34.0509986877,34.2322463989
100,34.3740005493,34.2240142822
101,33.6489982605,34.3375930786
102,35.1790008545,35.101890564
103,36.063999176,36.3758277893
104,35.7420005798,36.3156433105
105,33.8100013733,34.2937278748
106,26.5650005341,28.9902877808
107,24.4720001221,26.2380084991
108,24.1499996185,25.2944927216
109,24.875,25.4152030945
110,26.0820007324,26.7575817108
111,28.1749992371,29.2547225952
112,28.9799995422,30.6128749847
113,30.3479995728,31.4577350616
114,30.9930000305,31.982049942
115,30.9120006561,32.1595306396
116,31.0729999542,32.1014900208
117,29.8649997711,31.935426712
118,30.4290008545,31.7582988739
119,30.5100002289,31.5992679596
120,31.0729999542,30.845205307
121,30.5100002289,30.4235019684
122,32.1189994812,30.9771976471
123,31.2339992523,30.7088565826
124,30.9120006561,30.9912509918
125,30.9120006561,30.794084549
126,32.0390014648,30.6209812164
127,30.267999649,30.3993930817
128,30.0259990692,30.1578540802
129,29.4629993439,29.8537998199
130,26.2430000305,29.407787323
131,25.5990009308,28.6316261292
132,26.6459999084,27.4294624329
133,27.2889995575,26.5707035065
134,26.4039993286,26.518655777
135,27.1280002594,26.7173671722
136,28.5769996643,27.2033691406
137,28.4969997406,27.9446907043
138,28.8190002441,28.1510982513
139,28.8990001678,27.931640625
140,28.9799995422,27.5286216736
141,27.8530006409,26.8183765411
142,27.3700008392,26.0676403046
143,26.5650005341,25.3766078949
144,25.6800003052,24.1542453766
145,24.311000824,23.2245922089
146,23.263999939,22.52227211
147,23.263999939,21.5133495331
148,21.8159999847,20.4696483612
149,20.4470005035,19.9502944946
150,18.9979991913,19.9625759125
151,20.6879997253,20.171169281
152,20.6879997253,20.2817516327
153,21.0100002289,20.3889904022
154,20.9300003052,20.5117893219
155,19.8829994202,20.9886951447
156,20.0450000763,20.9380378723
157,19.1590003967,20.1384906769
158,19.3999996185,20.0770740509
159,18.5149993896,20.3231868744
160,19.4810009003,19.3926258087
161,18.9169998169,20.77983284
162,19.1590003967,20.8516407013
163,18.8369998932,20.3887958527
164,18.3540000916,20.1535129547
165,17.8710002899,19.7563018799
166,18.2740001678,19.4339904785
167,18.8369998932,19.0994625092
168,17.3880004883,18.7597198486
169,16.7439994812,18.4037647247
170,17.0659999847,18.042432785
171,16.986000061,17.6964626312
172,16.6630001068,17.4317340851
173,16.1809997559,17.3604755402
174,16.8239994049,17.335111618
175,16.3409996033,17.1407680511
176,17.2269992828,17.153875351
177,16.6630001068,17.2673397064
178,17.7099990845,17.5889854431
179,17.5489997864,17.8525524139
180,18.7569999695,18.209854126
181,19.2399997711,18.8359737396
182,20.0450000763,19.5286273956
183,20.125,20.6714572906
184,20.2859992981,22.1161499023
185,20.6079998016,24.2267971039
186,23.5869998932,26.4337291718
187,26.6459999084,29.218755722
188,27.2889995575,31.4123935699
189,28.658000946,32.1829414368
190,29.1410007477,32.8273544312
191,29.7049999237,33.3346977234
192,30.107000351,33.7376937866
193,30.5900001526,34.0209465027
194,30.4290008545,34.1257209778
195,31.313999176,34.2014083862
196,32.2000007629,34.2972106934
197,31.7980003357,34.5496749878
198,33.4879989624,35.5341873169
199,33.3269996643,36.6096992493
200,33.1660003662,32.4243011475
201,31.5559997559,30.6144733429
202,25.2770004272,28.3994102478
203,22.5400009155,26.049823761
204,22.6210002899,24.9366436005
205,23.4249992371,25.3283061981
206,23.0230007172,25.6596813202
207,25.1959991455,26.285282135
208,26.4039993286,27.6490383148
209,28.1749992371,29.9480266571
210,28.658000946,30.7093982697
211,28.2549991608,30.9511508942
212,29.1410007477,31.1918087006
213,28.4169998169,31.3099155426
214,28.5769996643,31.3601474762
215,28.013999939,31.3815250397
216,28.4169998169,31.410112381
217,27.8530006409,31.4489536285
218,28.658000946,31.4721431732
219,28.9799995422,31.460149765
220,29.7849998474,31.4123096466
221,29.3819999695,31.3455638885
222,29.2220001221,31.2649021149
223,29.0599994659,31.1683292389
224,29.3020000458,31.0359706879
225,28.4969997406,30.8522434235
226,26.0009994507,30.5742473602
227,24.7940006256,30.0501880646
228,25.5990009308,28.8750305176
229,24.3920001984,27.1972980499
230,23.7469997406,26.5793209076
231,24.311000824,26.7609481812
232,25.0349998474,27.13788414
233,25.2770004272,27.8177433014
234,26.3229999542,28.1742401123
235,26.0009994507,28.0413017273
