ID,true_data,16000,5000,8000
0,33.32699966,33.53319168,28.11741447,31.25264931
1,34.29299927,33.22389221,32.7673111,33.87307739
2,33.64899826,33.30596542,35.65426254,34.6159668
3,34.61500168,33.37903214,35.23137665,34.71626282
4,35.25899887,33.92949677,35.2590332,35.29401398
5,36.54700089,34.23987579,35.61857986,35.67580032
6,36.95000076,34.19931412,36.30445099,36.30327225
7,37.83499908,34.4362793,36.73286438,37.14930725
8,37.67399979,34.94834137,34.90113449,36.73316574
9,34.77600098,33.74781799,29.93947983,33.64915848
10,27.28899956,25.69480324,24.89486694,27.36851883
11,25.43799973,23.02834892,24.05759239,25.01388168
12,25.3579998,23.58654976,24.61052322,25.420578
13,25.59900093,23.61395645,25.82250404,25.51530457
14,28.09399986,24.25359726,27.63310814,26.31005287
15,28.97999954,25.52108574,29.9408474,28.9924202
16,31.07299995,27.28833389,31.42578506,30.69283104
17,30.59000015,29.94860458,31.90575409,31.99371719
18,32.03900146,30.90022469,32.041008,32.85493851
19,31.23399925,31.31187248,32.11175919,32.97631073
20,31.63599968,31.32047653,32.16310883,32.75585556
21,32.44100189,30.65369225,32.20320129,32.4533577
22,30.91200066,30.23119926,32.24015427,32.49149704
23,30.34799957,30.65487099,32.26933289,32.534935
24,31.55599976,31.19824791,32.29585266,32.60276794
25,31.47599983,31.41627121,32.31321716,32.6498909
26,32.20000076,31.27453423,32.32442474,32.6774025
27,31.55599976,31.08685684,32.31993103,32.68212509
28,32.36100006,30.9874115,32.29708481,32.65607834
29,32.92399979,30.94645309,32.2359848,32.57623672
30,33.24599838,30.91195297,32.11436844,32.38529968
31,32.76399994,30.81459045,31.87605286,31.93237686
32,32.11899948,30.50195122,31.43890572,30.83661461
33,31.71699905,29.69571686,30.68169975,28.81865883
34,27.69199944,28.29170036,29.59121513,27.60717392
35,25.51799965,27.1344986,28.53102684,27.79829216
36,25.76000023,26.92308426,28.14679146,27.9246521
37,27.04800034,26.76961327,28.43475151,28.11175537
38,27.20899963,27.06005287,28.87078857,28.67483521
39,27.69199944,27.77011681,29.23221397,29.48557472
40,28.57699966,27.38201714,28.58140373,27.76382256
41,28.65800095,28.81508827,28.99358177,29.27618217
42,29.38199997,28.53092384,29.19337273,29.31098747
43,29.86499977,28.539814,29.74275017,29.15770721
44,29.86499977,27.43177605,29.41927528,29.05004501
45,28.57699966,27.73094559,28.81899643,29.18628693
46,28.17499924,26.0872345,27.98915482,28.84409523
47,27.37000084,25.66636086,27.12645912,27.60743141
48,26.80599976,24.4005146,26.18207359,26.55387306
49,25.03499985,23.48353767,25.16536903,25.90504074
50,24.71299934,22.42669868,24.06400108,24.77826309
51,23.58699989,21.24347878,22.90924644,23.8492775
52,23.02300072,20.02837563,21.84627914,22.3043499
53,21.65399933,19.13445854,21.18364906,21.33640099
54,19.56200027,18.8040905,21.15308571,20.82779312
55,22.13699913,19.08894157,21.52779961,21.0848465
56,21.49300003,19.90076447,21.86773109,21.64480019
57,22.78100014,20.22459602,22.02451897,21.79486847
58,22.62100029,21.21371269,22.90677834,22.22154617
59,22.78100014,20.91578865,22.32463646,21.97079086
60,22.45899963,20.51888275,22.11168098,21.3130722
61,20.20499992,19.06945038,20.84151649,20.81830978
62,20.4470005,20.38940811,21.56433678,20.79122543
63,19.88299942,20.55317497,21.24946785,20.62547112
64,20.125,18.84050179,21.35990715,20.59240913
65,19.88299942,19.46748543,21.16856766,20.56304359
66,19.6420002,19.88174629,21.04588318,20.43816757
67,18.91699982,19.57544136,20.71435165,20.18266296
68,19.31999969,19.50798607,20.48040199,19.83956718
69,20.125,19.76686859,20.18428612,19.59069824
70,18.6760006,19.84533501,19.90371895,19.34552383
71,19.31999969,19.55194283,19.51913261,18.95144081
72,18.51499939,19.14819908,19.1020565,18.46530533
73,17.79100037,18.23513031,18.62257957,17.98287201
74,17.22699928,17.42510796,18.15267754,17.6035881
75,17.46899986,16.72834587,17.71555138,17.35169983
76,17.06599998,16.37695313,17.3728466,17.199543
77,16.66300011,16.24734688,17.14262772,17.07878113
78,15.69799995,16.11950302,17.04148102,16.96423912
79,15.29500008,16.22654533,17.04662704,16.93449211
80,15.53600025,15.64429474,23.49874115,18.1093483
81,15.61699963,15.6346941,16.46740532,16.99391937
82,16.42200089,16.20701599,17.88769722,17.29678345
83,17.38800049,16.69602203,17.99069405,17.42467499
84,17.62899971,17.34548569,18.4287796,17.82711029
85,18.75699997,18.52138138,19.0633297,18.6656456
86,20.04500008,18.89033508,19.85149193,19.67929459
87,21.33300018,20.05872917,21.10370445,20.64074326
88,21.5739994,21.14531899,22.64518166,21.97868729
89,22.21800041,22.88990974,24.83743477,23.74158669
90,25.27700043,25.95689583,27.39836884,26.37329865
91,28.33600044,29.61387062,29.71011925,29.15708542
92,30.67000008,31.32455254,31.15058517,30.97535515
93,31.79800034,32.26426315,32.0018158,32.03370285
94,32.36100006,33.58443832,32.48758698,32.72512054
95,32.84400177,34.23694611,32.7571106,33.03453445
96,32.60300064,34.24118042,32.94790649,33.26968002
97,32.60300064,33.70461273,33.19329453,33.5381813
98,32.92399979,34.69568634,33.48931122,33.72977829
99,34.05099869,34.1865921,33.83547211,33.97723007
100,34.37400055,34.53710938,34.27393723,34.18420792
101,33.64899826,34.90386963,34.92979813,34.63037491
102,35.17900085,35.35744095,35.75963974,35.72934341
103,36.06399918,36.11928558,35.64081192,36.18962479
104,35.74200058,36.62844086,32.15000534,35.65671158
105,33.81000137,34.06010437,27.61644363,32.25391769
106,26.56500053,28.30394936,25.01655769,26.69721222
107,24.47200012,25.58541107,25.00853729,24.9643364
108,24.14999962,25.68731499,25.43670845,25.13892365
109,24.875,25.82736206,26.47924995,25.59072113
110,26.08200073,26.36018562,28.5206089,26.864048
111,28.17499924,28.96803474,30.34879875,29.32180023
112,28.97999954,30.0763092,31.12440109,30.41989136
113,30.34799957,31.39011955,31.34846306,31.71326065
114,30.99300003,32.37321854,31.43700218,31.82711411
115,30.91200066,32.39129257,31.49390602,31.80151367
116,31.07299995,31.87969971,31.53639984,31.77907562
117,29.86499977,31.86513329,31.57063866,31.50609207
118,30.42900085,31.98290825,31.60201073,31.29323959
119,30.51000023,32.23083496,31.62615776,31.27186775
120,31.07299995,31.49612999,29.01714706,30.73526764
121,30.51000023,32.42279816,30.04401588,29.68305016
122,32.11899948,32.22132492,30.64697456,30.65079117
123,31.23399925,31.76944923,31.20337486,31.07044601
124,30.91200066,32.00404358,30.86077118,30.93555832
125,30.91200066,32.14278793,30.86305809,30.76255798
126,32.03900146,32.36512756,30.68216705,30.59740448
127,30.26799965,32.32243347,30.37496758,30.29939461
128,30.02599907,31.85663033,29.81999969,29.87561607
129,29.46299934,30.17622757,28.96087646,29.2884903
130,26.24300003,28.24169731,27.92678261,28.37142563
131,25.59900093,27.8748188,27.1511097,27.26596069
132,26.64599991,28.35551643,26.99358177,26.65353012
133,27.28899956,28.49561691,27.28310394,26.44103241
134,26.40399933,28.22980499,27.68907928,26.49114227
135,27.12800026,28.69475746,28.05434799,26.97809982
136,28.57699966,29.41350746,28.33803368,27.84848785
137,28.49699974,29.52228355,28.50684547,28.29907227
138,28.81900024,29.36305618,28.4864502,28.40153694
139,28.89900017,29.24465752,28.22240829,28.07891083
140,28.97999954,29.03487015,27.69019699,27.25027466
141,27.85300064,28.64485168,26.93103218,26.65065193
142,27.37000084,27.87643814,26.01907158,26.08603096
143,26.56500053,26.64250946,25.0292263,25.1957531
144,25.68000031,25.52046776,23.99881935,24.44080353
145,24.31100082,24.59294891,22.93000221,23.42668724
146,23.26399994,23.58766747,21.83512306,22.31015205
147,23.26399994,22.41869926,20.88745499,21.3827858
148,21.81599998,21.00504684,20.48295403,20.46128273
149,20.4470005,20.09596252,20.47257423,19.60819435
150,18.99799919,20.29767799,20.43818474,19.06383324
151,20.68799973,21.1639328,20.4060154,18.87552452
152,20.68799973,21.01055527,20.38657951,18.88723755
153,21.01000023,21.43916512,20.36816788,19.01262474
154,20.93000031,21.28846931,21.29841805,19.27861023
155,19.88299942,22.24168205,21.27347755,19.23498917
156,20.04500008,22.57157326,21.2779274,19.33406639
157,19.1590004,21.46540642,20.15052795,19.31250572
158,19.39999962,21.89387703,20.94634819,19.33131409
159,18.51499939,21.170187,20.71565819,19.4137516
160,19.4810009,21.59276772,18.24687386,20.11306572
161,18.91699982,21.64831924,20.8094883,20.54643059
162,19.1590004,21.36454201,21.18930054,20.41515923
163,18.83699989,21.55130959,20.62211418,20.21957397
164,18.35400009,20.76053429,20.2914505,20.10955238
165,17.87100029,21.18361855,19.85671806,19.88035584
166,18.27400017,20.25862694,19.60373688,19.59401703
167,18.83699989,20.49480248,19.20021439,19.26885986
168,17.38800049,19.73769188,18.84912872,18.92321587
169,16.74399948,19.52604103,18.42273521,18.5739994
170,17.06599998,18.89286232,18.05611229,18.23839569
171,16.98600006,18.43152428,17.69025993,17.92651367
172,16.66300011,18.22446632,17.40926933,17.64884567
173,16.18099976,17.81451797,17.20107079,17.41021729
174,16.8239994,17.89449501,17.11897087,17.21745682
175,16.3409996,17.70108223,17.13283157,17.08055496
176,17.22699928,17.65427208,17.2637043,17.0112648
177,16.66300011,17.65221977,17.4821682,17.03183746
178,17.70999908,17.73696327,17.80773163,17.17740822
179,17.54899979,18.08275604,18.22854805,17.49604225
180,18.75699997,18.44702339,18.76783562,18.03601456
181,19.23999977,19.48055077,19.4456234,18.76795578
182,20.04500008,20.21996307,20.31840134,19.57775116
183,20.125,21.20232582,21.47110176,20.57851028
184,20.2859993,21.81929016,23.0303421,21.9737072
185,20.6079998,23.47550201,25.12311363,23.46564865
186,23.58699989,26.33400536,27.61018372,26.02566528
187,26.64599991,30.42482376,29.76952553,28.90806961
188,27.28899956,32.42650223,31.07163429,30.85904884
189,28.65800095,33.30794525,31.78940392,31.75800705
190,29.14100075,33.92610168,32.16015625,32.45544434
191,29.70499992,34.54130936,32.34022141,32.6375618
192,30.10700035,34.62413025,32.4695015,32.89075089
193,30.59000015,34.64128876,32.67743301,33.04824448
194,30.42900085,35.2065773,32.97050095,33.15715027
195,31.31399918,35.18843842,33.33420563,33.35889435
196,32.20000076,35.578022,33.7725296,33.5698967
197,31.79800034,36.07735062,34.39438629,33.90815735
198,33.48799896,36.08625793,35.22710419,34.72687149
199,33.32699966,37.08274078,35.40065384,35.32696152
200,33.16600037,35.29725266,28.62765121,32.74634171
201,31.55599976,36.17635345,30.50203705,30.90764427
202,25.27700043,28.88836479,27.86296463,29.44311523
203,22.54000092,24.83163643,25.10009575,25.95874405
204,22.62100029,25.36463356,23.85200882,24.1895256
205,23.42499924,26.65502357,24.63414955,24.04056931
206,23.02300072,27.21237564,25.76566696,24.23698616
207,25.19599915,29.85924339,27.40803146,26.06165314
208,26.40399933,31.00795937,29.09910011,28.0551815
209,28.17499924,32.20704269,30.16953468,28.94730186
210,28.65800095,32.20915985,30.6020813,29.88144302
211,28.25499916,32.7144928,30.7743721,30.33615875
212,29.14100075,32.88774109,30.86738777,30.26478195
213,28.41699982,32.39742661,30.92877388,30.10099411
214,28.57699966,32.44777298,30.97731209,30.06534958
215,28.01399994,32.93149948,31.01333427,29.97470856
216,28.41699982,33.10580826,31.04369926,30.02128792
217,27.85300064,32.93775177,31.0641346,30.23789406
218,28.65800095,32.76346588,31.07907295,30.4605751
219,28.97999954,32.91785431,31.08226585,30.64042664
220,29.78499985,33.10517502,31.07506943,30.76122856
221,29.38199997,33.10705948,31.04606438,30.83378792
222,29.22200012,33.11898422,30.98647308,30.85242844
223,29.05999947,33.13002777,30.86424828,30.78654099
224,29.30200005,32.82155228,30.62810707,30.54390526
225,28.49699974,31.71797943,30.1609211,29.91322708
226,26.00099945,29.68678474,29.28434181,28.5846386
227,24.79400063,28.72830391,27.91438866,26.95217896
228,25.59900093,28.88227272,26.63957024,26.46922874
229,24.3920002,28.98756409,26.38191032,26.48097992
230,23.74699974,28.66070747,26.91902351,26.60726357
231,24.31100082,29.10946846,27.42960167,27.09474754
232,25.03499985,29.70511055,27.70978546,27.96640778
233,25.27700043,29.88560295,27.82205772,28.42313385
234,26.32299995,29.79135895,27.78083611,28.60788727
235,26.00099945,29.49741554,27.55115509,28.5370636
236,26.40399933,28.98949623,27.08055496,27.79418564
237,25.3579998,28.21430397,26.37075233,26.73164558
238,24.71299934,27.17638206,25.47445107,26.42346001
239,23.82799912,26.22048378,24.46978951,25.48154068
240,22.86199951,25.60370064,25.73159599,24.57511139
241,21.81599998,24.65696144,22.64824104,24.53172302
242,21.25200081,23.56617928,21.91179085,23.37916565
243,20.6079998,21.55216408,21.43494415,22.98090553
244,19.88299942,20.29320526,20.48042107,21.71082687
245,18.83699989,20.31194115,20.31145668,21.20749664
246,17.79100037,20.53320885,20.24176598,20.52771187
247,18.27400017,20.40415573,20.20144844,20.41038704
248,19.6420002,20.65633774,20.16827583,20.11492538
249,19.56200027,21.36216164,20.13728142,19.87664795
250,19.1590004,20.43536758,19.32192039,19.15987396
251,19.39999962,20.63168907,19.52674675,18.4908638
252,18.43400002,20.15101814,19.5974369,18.27553177
253,18.43400002,18.8712101,18.61167526,18.06505013
254,18.51499939,19.60390663,18.75645638,17.9605751
255,18.27400017,19.10043526,18.76999664,17.86161613
256,17.38800049,18.65250015,18.43789673,17.71887589
257,17.14599991,18.60106277,18.28544426,17.51711655
258,16.74399948,18.33492088,17.75032997,17.32743263
259,16.66300011,18.06467438,17.30610275,17.18529892
260,17.06599998,17.95950699,16.73929787,16.93449783
261,17.30699921,17.87250328,16.36245918,16.53714752
262,18.11199951,17.77760506,16.10321617,16.10923576
263,17.46899986,16.9112587,16.02807617,15.72340584
264,17.06599998,16.04406548,16.00657272,15.42360783
265,16.18099976,15.99500561,16.04841614,15.19866467
266,16.42200089,15.62601757,16.05488968,15.02318382
267,14.81200027,16.04968071,16.08457184,14.88524914
268,15.45600033,15.77026558,16.11461258,14.8102808
269,14.97299957,15.55054951,16.19515038,14.85039711
270,15.45600033,15.6203928,16.31764603,15.05869961
271,15.13399982,15.66728973,16.49712753,15.35942745
272,15.61699963,15.76390362,16.74085426,15.51422119
273,15.77799988,15.84247112,17.0545826,15.69116306
274,15.69799995,16.00541306,17.44555855,16.09812164
275,17.46899986,16.65047646,17.92453766,16.67507553
276,18.35400009,16.99496651,18.50234413,17.37194061
277,20.20499992,18.72786903,19.20466232,18.21060181
278,20.6079998,19.39616585,20.05733109,19.17414093
279,20.36599922,20.57471275,21.1320591,20.16854095
280,20.68799973,22.1720047,25.60664177,23.46917343
281,21.33300018,24.20794106,22.5568428,23.38199234
282,25.43799973,26.7714386,25.18935966,25.89320564
283,29.14100075,29.58759308,27.60558891,29.24451256
284,29.78499985,30.96366119,29.59166145,31.25774193
285,31.87800026,32.44239426,31.24508476,32.21773148
286,33.16600037,32.44215775,32.59983826,32.73075485
287,32.84400177,33.53540039,33.19548035,33.31860733
288,32.92399979,33.98778534,33.58125305,33.54991531
289,34.77600098,33.89280319,33.77029037,33.90684509
290,34.53499985,34.60697937,33.92630005,34.24477386
291,36.14500046,34.27977753,34.11177826,34.41796112
292,36.38600159,35.05792236,34.40026093,34.64908981
293,37.02999878,35.90310669,34.88457489,35.20547104
294,37.27099991,37.18566132,35.67949295,36.34085464
295,38.1570015,38.23638535,36.38427734,36.98994827
296,39.44499969,38.01491165,35.1180687,36.27975082
297,36.6269989,35.41090775,30.62291908,32.14943314
298,29.78499985,28.1960907,25.72845459,25.96861267
299,26.72599983,25.35138702,24.20354271,24.96647072
300,26.72599983,25.57430267,24.6534977,25.26101303
301,28.33600044,25.66217804,25.64014626,25.90195084
302,28.57699966,25.84881401,26.81335258,27.91321182
303,31.63599968,27.95890808,28.96171188,29.79977417
304,32.20000076,30.19636345,30.5051403,31.18803978
305,32.76399994,31.41573334,31.18264961,32.06560898
306,34.93700027,31.44314766,31.48325348,32.29174805
307,34.45399857,31.14845085,31.70470619,32.20077896
308,34.05099869,31.54303932,31.88137054,31.83628464
309,34.05099869,32.04222107,32.01474762,31.89122391
310,34.05099869,31.56805801,32.11243439,32.03574371
311,33.64899826,31.46457291,32.17715073,32.21346664
312,33.97100067,31.74764442,32.2220993,32.36072922
313,34.05099869,31.67542076,32.24657059,32.47251129
314,34.37400055,31.6963768,32.2563591,32.55243301
315,35.41999817,31.64402199,32.24167633,32.59874344
316,34.93700027,31.72417068,32.19630051,32.6000061
317,35.01699829,31.79338646,32.09182739,32.54611588
318,35.5,31.91580391,31.89031029,32.43228531
319,34.61500168,31.99106789,31.5110817,32.23619461
320,34.53499985,30.61598206,29.23955917,29.52568054
321,33.40800095,30.8307972,30.09183884,30.67260742
322,31.47599983,28.26297379,30.49137688,31.04471588
323,30.83099937,27.8034687,29.42544365,30.33280182
324,30.51000023,27.60757828,28.61801147,29.44740677
325,30.91200066,28.50074196,28.12646866,28.95105934
326,30.42900085,28.44473457,28.27810478,28.47122765
327,28.97999954,28.43099594,28.89047813,28.58536911
328,30.34799957,28.67806625,29.47494888,29.0968399
329,29.05999947,28.94518471,29.80444527,29.54286957
330,29.94599915,28.82722855,29.86532593,29.7263031
331,29.70499992,28.60465431,29.69383049,29.7926445
332,29.78499985,28.54340172,29.29887009,29.65861893
333,28.73900032,28.45945168,28.7053833,29.21871567
334,27.61100006,28.09740829,27.94882584,28.36969376
335,27.61100006,27.28092766,27.0773983,27.66921997
336,26.00099945,25.97862244,26.12492752,26.46177292
337,25.3579998,24.9568634,25.10424232,25.28059387
338,24.95499992,24.0923481,24.01887321,24.37666321
339,23.50600052,23.21314621,22.89818764,23.29372025
340,21.41300011,22.21822166,21.87646675,22.28058434
341,21.25200081,21.12907219,21.23398781,21.07656479
342,20.125,20.41068459,21.18841362,20.69668198
343,21.41300011,20.49418831,21.54733849,20.97724724
344,20.7689991,21.38065147,21.8985424,21.48554802
345,23.02300072,21.93571663,22.076437,21.87221146
346,22.37899971,22.46265602,21.7328701,21.49369049
347,21.65399933,22.88579369,21.93662071,21.40876389
348,21.25200081,22.13788414,21.40730476,20.92186356
349,21.49300003,21.22323799,20.76951981,20.67692566
350,21.73500061,21.29979897,21.40760803,20.60874748
351,21.41300011,21.44320869,20.76415062,20.41578293
352,20.68799973,21.05949402,20.45318222,20.31779671
353,20.4470005,21.40554047,20.27389908,20.25413513
354,20.68799973,21.13606834,20.22328949,20.07750702
355,20.20499992,21.02710533,19.99298668,19.69129562
356,20.4470005,20.79530525,19.74498749,19.23925209
357,19.31999969,20.30744362,19.41589928,18.91739464
358,19.88299942,19.18009186,19.12797737,18.58499336
359,18.99799919,19.31395149,18.82319069,18.15847969
360,19.07900047,16.98648071,20.2685318,18.38162231
361,19.07900047,16.14196968,17.24845314,17.21151352
362,19.07900047,16.01257324,17.96954536,17.00132179
363,18.03199959,16.39956474,17.21186638,16.82774162
364,18.27400017,16.2239418,17.14085197,16.58918762
365,18.19300079,16.10958672,16.71027946,16.50118828
366,18.27400017,16.08623886,16.70910835,16.40762711
367,18.03199959,16.21275902,16.44904327,16.3733902
368,18.43400002,16.23628807,16.64585495,16.43385696
369,17.95100021,16.55633736,16.78743362,16.63258362
370,19.07900047,16.60760498,17.23675728,17.0071373
371,19.88299942,17.29741478,17.66070557,17.60273361
372,19.88299942,17.63744926,18.28870964,18.39281082
373,21.49300003,18.35199356,18.94372749,19.21820068
374,21.89599991,19.33475494,19.8043499,20.11656189
375,21.97599983,20.1826725,20.81601143,21.04088211
376,22.54000092,20.75158501,22.1714077,21.76241112
377,23.26399994,22.16257668,23.98265457,23.23257446
378,25.59900093,24.01080894,26.42704201,25.65299034
379,28.97999954,26.97958946,29.04507828,28.49105835
380,30.99300003,29.25881195,30.92584419,30.70508575
381,32.27999878,31.08096886,31.9960556,31.96293259
