,true_data,pre_data
0,33.3269996643,28.1174144745
1,34.2929992676,32.7673110962
2,33.6489982605,35.6542625427
3,34.6150016785,35.2313766479
4,35.2589988708,35.2590332031
5,36.547000885,35.6185798645
6,36.9500007629,36.3044509888
7,37.8349990845,36.7328643799
8,37.6739997864,34.901134491
9,34.7760009766,29.9394798279
10,27.2889995575,24.8948669434
11,25.4379997253,24.057592392
12,25.3579998016,24.6105232239
13,25.5990009308,25.8225040436
14,28.0939998627,27.633108139
15,28.9799995422,29.9408473969
16,31.0729999542,31.4257850647
17,30.5900001526,31.9057540894
18,32.0390014648,32.0410079956
19,31.2339992523,32.1117591858
20,31.6359996796,32.1631088257
21,32.4410018921,32.2032012939
22,30.9120006561,32.2401542664
23,30.3479995728,32.2693328857
24,31.5559997559,32.2958526611
25,31.4759998322,32.3132171631
26,32.2000007629,32.3244247437
27,31.5559997559,32.3199310303
28,32.361000061,32.2970848083
29,32.9239997864,32.2359848022
30,33.2459983826,32.1143684387
31,32.763999939,31.8760528564
32,32.1189994812,31.4389057159
33,31.716999054,30.6816997528
34,27.6919994354,29.5912151337
35,25.517999649,28.5310268402
36,25.7600002289,28.1467914581
37,27.0480003357,28.4347515106
38,27.2089996338,28.8707885742
39,27.6919994354,29.232213974
40,28.5769996643,28.5814037323
41,28.658000946,28.9935817719
42,29.3819999695,29.1933727264
43,29.8649997711,29.7427501678
44,29.8649997711,29.4192752838
45,28.5769996643,28.8189964294
46,28.1749992371,27.9891548157
47,27.3700008392,27.1264591217
48,26.8059997559,26.1820735931
49,25.0349998474,25.1653690338
50,24.7129993439,24.0640010834
51,23.5869998932,22.9092464447
52,23.0230007172,21.8462791443
53,21.6539993286,21.1836490631
54,19.5620002747,21.1530857086
55,22.1369991302,21.5277996063
56,21.4930000305,21.8677310944
57,22.7810001373,22.0245189667
58,22.6210002899,22.9067783356
59,22.7810001373,22.3246364594
60,22.4589996338,22.1116809845
61,20.2049999237,20.8415164948
62,20.4470005035,21.5643367767
63,19.8829994202,21.2494678497
64,20.125,21.3599071503
65,19.8829994202,21.1685676575
66,19.6420001984,21.0458831787
67,18.9169998169,20.7143516541
68,19.3199996948,20.4804019928
69,20.125,20.1842861176
70,18.6760005951,19.9037189484
71,19.3199996948,19.5191326141
72,18.5149993896,19.1020565033
73,17.7910003662,18.6225795746
74,17.2269992828,18.152677536
75,17.4689998627,17.7155513763
76,17.0659999847,17.3728466034
77,16.6630001068,17.1426277161
78,15.6979999542,17.0414810181
79,15.2950000763,17.0466270447
80,15.5360002518,23.4987411499
81,15.6169996262,16.4674053192
82,16.422000885,17.8876972198
83,17.3880004883,17.990694046
84,17.6289997101,18.4287796021
85,18.7569999695,19.0633296967
86,20.0450000763,19.8514919281
87,21.3330001831,21.1037044525
88,21.5739994049,22.6451816559
89,22.218000412,24.8374347687
90,25.2770004272,27.3983688354
91,28.3360004425,29.7101192474
92,30.6700000763,31.1505851746
93,31.7980003357,32.0018157959
94,32.361000061,32.4875869751
95,32.84400177,32.7571105957
96,32.6030006409,32.9479064941
97,32.6030006409,33.1932945251
98,32.9239997864,33.4893112183
99,34.0509986877,33.8354721069
100,34.3740005493,34.2739372253
101,33.6489982605,34.9297981262
102,35.1790008545,35.75963974
103,36.063999176,35.6408119202
104,35.7420005798,32.1500053406
105,33.8100013733,27.616443634
106,26.5650005341,25.0165576935
107,24.4720001221,25.0085372925
108,24.1499996185,25.4367084503
109,24.875,26.4792499542
110,26.0820007324,28.520608902
111,28.1749992371,30.3487987518
112,28.9799995422,31.1244010925
113,30.3479995728,31.3484630585
114,30.9930000305,31.437002182
